team,att,cmp,cmp%,yds/at,pass yrds,td,in,rate,1s,1st%,20+,40+,lng,sck,sckY,at,rush yrds,ypc,20+,40+,lng,rush 1s,rush 1st%,rush fum,winning_season
49ers,478,331,69.2,8.4,4029,28,13,103.1,195,40.8,62,8,75,36,237,498,2305,4.6,23,16,4,83,110,22.1,8,1
Bears,580,371,64,6.2,3573,20,12,83.9,178,30.7,39,2,53,45,282,395,1458,3.7,8,5,2,55,85,21.5,5,1
Bengals,616,356,57.8,6.5,3994,18,16,76.2,191,31,48,7,66,48,342,385,1517,3.9,9,8,1,41,85,22.1,3,0
Bills,513,299,58.3,6.8,3476,21,12,82.8,162,31.6,54,8,53,40,247,465,2054,4.4,13,13,1,41,120,25.8,13,1
Broncos,504,312,61.9,6.7,3401,16,10,84.1,162,32.1,46,10,75,41,286,409,1662,4.1,11,8,1,40,77,18.8,2,0
Browns,539,318,59,7.1,3847,22,21,78.4,180,33.4,58,9,89,41,293,393,1901,4.8,15,11,4,88,90,22.9,5,0
Buccaneers,630,382,60.6,8.1,5127,33,30,84.1,244,38.7,75,13,71,47,282,409,1521,3.7,15,10,1,49,81,19.8,6,0
Cardinals,554,355,64.1,6.9,3797,20,12,87,176,31.8,49,10,88,50,320,396,1990,5,18,16,1,80,109,27.5,3,0
Chargers,597,394,66,7.8,4648,24,20,89,220,36.9,57,12,84,34,222,366,1453,4,12,9,1,40,90,24.6,7,0
Chiefs,576,378,65.6,8.1,4690,30,5,104.4,211,36.6,59,18,83,25,192,375,1569,4.2,16,10,3,91,93,24.8,5,1
Colts,513,307,59.8,6.5,3314,22,10,85,165,32.2,38,3,50,32,206,471,2130,4.5,17,14,3,63,131,27.8,3,0
Cowboys,597,388,65,8.2,4902,30,11,99.5,229,38.4,68,16,62,23,151,449,2153,4.8,18,11,2,44,120,26.7,7,1
Dolphins,615,371,60.3,6.7,4117,22,18,80,210,34.1,49,7,51,58,313,349,1156,3.3,10,3,0,28,64,18.3,7,0
